uf,season,week,P25,P50,P75,P90,P95
PI,2023-2024,30,278,407.5,441,900.5000000000007,1218.1999999999998
PI,2023-2024,31,276,401,434,866,1163
PI,2023-2024,32,266,391,420.45000000000005,837.4000000000005,1097.05
PI,2023-2024,33,252.75,367,398,823,1028.1499999999999
PI,2023-2024,34,230,349,372,749,939.0999999999999
PI,2023-2024,35,206,308,333,691.1000000000001,886.0999999999999
PI,2023-2024,36,184,274,292,607,744.05
PI,2023-2024,37,161,235,251,530.1000000000001,666.05
PI,2023-2024,38,139,206,221,456,579
PI,2023-2024,39,124,186,197,391,494.04999999999995
PI,2023-2024,40,101,152.5,166,343.10000000000014,440.04999999999995
PI,2023-2024,41,88,138,150.45000000000005,298.10000000000014,362.04999999999995
PI,2023-2024,42,79,119,129,277.10000000000014,357.04999999999995
PI,2023-2024,43,69,107,115,249.20000000000027,319.04999999999995
PI,2023-2024,44,60,92,99,215,284
PI,2023-2024,45,52,80,87,190.10000000000014,251
PI,2023-2024,46,45,70,76,162,221
PI,2023-2024,47,38,60,65,136,182
PI,2023-2024,48,33,50,55,118.10000000000014,153.04999999999995
PI,2023-2024,49,27,43,46,104.10000000000014,140.0999999999999
PI,2023-2024,50,23,36,39.450000000000045,83.10000000000014,118.04999999999995
PI,2023-2024,51,20,32,35,79,110
PI,2023-2024,52,18,28.5,32,70.10000000000014,94
PR,2023-2024,1,589.75,961,1050,2532.600000000001,3426.999999999999
PR,2023-2024,2,634.75,1024.5,1120.45,2603.1000000000004,3577.3499999999995
PR,2023-2024,3,651,1043,1130.45,2712.1000000000004,3786.45
PR,2023-2024,4,671.5,1056,1156,2725.5000000000045,3763.149999999997
PR,2023-2024,5,713.5,1124.5,1233.45,3053.1,4222.65
PR,2023-2024,6,757.75,1215.5,1323.45,3106.9000000000015,4179.5
PR,2023-2024,7,821,1266.5,1396.45,3273.700000000004,4458.549999999999
PR,2023-2024,8,826.5,1322,1426.45,3441.1,4674.049999999999
